Optimisation Analysis 
============================ 

Objective: 		MaxENB
Objective: 		MinRisk
SolutionSpace: 			6912
Evaluated: 			6912
Shortlisted: 			16
Runtime(s): 			74

ID	Location Finding	File Sharing	Report Syncing	Chat Protocol	Map Access	Hardware Platform	Connectivity	Database	Architectural Pattern	Data Exchange Format	ENB	Risk	Optimal
132	GPS	OpenIntent	Explicit	In house	Preloaded (ESRI)	Droid (Motorola)	3G on Droid	MySQL	Peer-to-peer	Unformatted data	13.959236271220812	1.0	No
133	radio triangulation	In house	Implicit	XMPP (Open Fire)	Cache on server	Nexus I (HTC)	3G on Nexus I	sqLite	Peer-to-peer	Compressed XML	14.059296073497238	1.0	No
134	radio triangulation	OpenIntent	Explicit	In house	Preloaded (ESRI)	Nexus I (HTC)	3G on Nexus I	MySQL	Push-based	XML	14.351206853339978	0.5922	No
135	GPS	OpenIntent	Explicit	In house	On Demand (Google)	Nexus I (HTC)	Bluetooth	MySQL	Push-based	Compressed XML	12.464186722678816	1.0	No
136	GPS	OpenIntent	Implicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	MySQL	Client-Server	Compressed XML	14.043126861766918	1.0	No
137	radio triangulation	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	3G on Droid	MySQL	Client-Server	XML	13.650188180803449	1.0	No
138	GPS	In house	Explicit	XMPP (Open Fire)	Preloaded (ESRI)	Nexus I (HTC)	Bluetooth	MySQL	Peer-to-peer	Compressed XML	13.450442259512123	1.0	No
139	radio triangulation	In house	Implicit	XMPP (Open Fire)	Preloaded (ESRI)	Droid (Motorola)	3G on Nexus I	sqLite	Push-based	Unformatted data	14.75215077904161	0.6657	No
140	GPS	OpenIntent	Implicit	In house	Cache on server	Nexus I (HTC)	3G on Nexus I	MySQL	Peer-to-peer	Compressed XML	14.097560958057354	1.0	No
141	GPS	In house	Explicit	XMPP (Open Fire)	Cache on server	Droid (Motorola)	Bluetooth	sqLite	Push-based	Compressed XML	13.297181513009615	1.0	No
142	GPS	OpenIntent	Implicit	XMPP (Open Fire)	Preloaded (ESRI)	Nexus I (HTC)	3G on Nexus I	sqLite	Peer-to-peer	Compressed XML	14.658511388775034	1.0	No
143	GPS	OpenIntent	Implicit	In house	Cache on server	Nexus I (HTC)	3G on Droid	MySQL	Client-Server	XML	14.849206548943322	1.0	No
144	radio triangulation	In house	Explicit	In house	Cache on server	Droid (Motorola)	3G on Nexus I	MySQL	Peer-to-peer	XML	13.264776427692333	1.0	No
145	GPS	In house	Implicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	MySQL	Client-Server	Compressed XML	13.603281012365452	1.0	No
146	radio triangulation	In house	Explicit	In house	Cache on server	Droid (Motorola)	3G on Droid	MySQL	Peer-to-peer	Unformatted data	13.360020955943224	1.0	No
147	GPS	In house	Explicit	XMPP (Open Fire)	On Demand (Google)	Nexus I (HTC)	Wifi	MySQL	Peer-to-peer	XML	11.903765372115625	1.0	No
148	GPS	In house	Implicit	In house	Cache on server	Droid (Motorola)	3G on Nexus I	MySQL	Client-Server	Compressed XML	14.322968345493162	1.0	No
149	radio triangulation	In house	Implicit	In house	On Demand (Google)	Droid (Motorola)	Wifi	sqLite	Client-Server	Unformatted data	13.583229501021414	1.0	No
