Optimisation Analysis, ,,,,,,,,,,,,
Objective ,MaxENB,,,,,,,,,,,,
Objective ,MinRisk,,,,,,,,,,,,
SolutionSpace ,6912,,,,,,,,,,,,
Minimal SolutionSet ,6912,,,,,,,,,,,,
Shortlisted ,15,,,,,,,,,,,,
Nbr. Variables ,117,,,,,,,,,,,,
Nbr. Parameters ,137,,,,,,,,,,,,
Nbr. Decisions ,10,,,,,,,,,,,,
Runtime(s) ,111,,,,,,,,,,,,
,,,,,,,,,,,,,
ID,Location Finding,File Sharing,Report Syncing,Chat Protocol,Map Access,Hardware Platform,Connectivity,Database,Architectural Pattern,Data Exchange Format,ENB,Risk,Optimal
144,GPS,In house,Implicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Client-Server,Compressed XML,13.60507588,1,No
145,radio triangulation,In house,Explicit,In house,Cache on server,Droid (Motorola),3G on Droid,MySQL,Peer-to-peer,Unformatted data,13.36455413,1,No
146,GPS,In house,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,MySQL,Peer-to-peer,XML,11.90233824,1,No
147,GPS,In house,Implicit,In house,Cache on server,Droid (Motorola),3G on Nexus I,MySQL,Client-Server,Compressed XML,14.32215113,1,No
148,radio triangulation,In house,Implicit,In house,On Demand (Google),Droid (Motorola),Wifi,sqLite,Client-Server,Unformatted data,13.58709813,1,No
149,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Wifi,MySQL,Peer-to-peer,Unformatted data,13.96671811,1,No
150,radio triangulation,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Peer-to-peer,Compressed XML,12.90392238,1,No
151,GPS,OpenIntent,Implicit,In house,Preloaded (ESRI),Nexus I (HTC),3G on Droid,MySQL,Client-Server,Compressed XML,15.36780767,1,No
152,radio triangulation,OpenIntent,Implicit,In house,On Demand (Google),Droid (Motorola),3G on Nexus I,sqLite,Client-Server,Compressed XML,14.17312877,1,No
153,radio triangulation,In house,Implicit,In house,Cache on server,Nexus I (HTC),3G on Droid,MySQL,Push-based,XML,14.24177768,1,No
154,radio triangulation,OpenIntent,Explicit,In house,Cache on server,Nexus I (HTC),Bluetooth,sqLite,Peer-to-peer,Unformatted data,13.59549617,1,No
155,GPS,OpenIntent,Explicit,In house,Cache on server,Nexus I (HTC),3G on Droid,MySQL,Push-based,Unformatted data,13.52873002,1,No
156,radio triangulation,In house,Implicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),Bluetooth,sqLite,Client-Server,XML,13.8010939,1,No
157,radio triangulation,In house,Explicit,In house,On Demand (Google),Nexus I (HTC),Wifi,sqLite,Peer-to-peer,Compressed XML,12.07747254,1,No
