Optimisation Analysis, 
Objective ,MaxExpectedUtility
Objective ,MinCost
SolutionSpace ,1024
Minimal SolutionSet ,1024
Shortlisted ,34
Nbr. Variables ,75
Nbr. Parameters ,11
Nbr. Decisions ,10
Runtime(s) ,3

ID,Order Reassignment,Forced Order Completion,Order Persistence Strategy,Order Segmentation,Hung Order Recovery,Failed Order Notification,Order Tracking,Available User Information,Order Chunking,Order Bundling,ExpectedUtility,Cost,Optimal
97,Current: not possible to reassign order,Current: not possible to force order completion,Store as soon as received,Orders are segmented,Allow Order Retry,User notified of failed order,Granule-level order tracking,Current: no link to user info,Current: no oder chunking,No Order Bundling,-67.31014863152399,5066.067184780961,No
98,Allow Order Reassignment,Current: not possible to force order completion,Current: store when processed,Current: no order segmentation,Current: no order retry,Current: no notification,Granule-level order tracking,Current: no link to user info,Order Chunking,Order Bundling,-87.18728076365578,1585.2559832552233,No
99,Allow Order Reassignment,Current: not possible to force order completion,Store as soon as received,Orders are segmented,Current: no order retry,User notified of failed order,Granule-level order tracking,Current: no link to user info,Order Chunking,Order Bundling,-74.94505854143381,5265.893049321092,No
100,Allow Order Reassignment,Current: not possible to force order completion,Current: store when processed,Current: no order segmentation,Current: no order retry,Current: no notification,Granule-level order tracking,Link to user information,Current: no oder chunking,Order Bundling,-88.63172520810072,1794.4034886089385,No
101,Current: not possible to reassign order,Current: not possible to force order completion,Current: store when processed,Current: no order segmentation,Allow Order Retry,User notified of failed order,Current: order level,Link to user information,Current: no oder chunking,Order Bundling,-87.87394743032276,709.2477269672994,No
102,Allow Order Reassignment,Current: not possible to force order completion,Store as soon as received,Current: no order segmentation,Current: no order retry,Current: no notification,Granule-level order tracking,Current: no link to user info,Order Chunking,No Order Bundling,-70.63237085374612,4765.837166531205,No
103,Allow Order Reassignment,Allow Forced Order Completion,Current: store when processed,Current: no order segmentation,Current: no order retry,User notified of failed order,Granule-level order tracking,Current: no link to user info,Current: no oder chunking,No Order Bundling,-77.12614863152416,2085.558309337555,No
104,Allow Order Reassignment,Current: not possible to force order completion,Store as soon as received,Current: no order segmentation,Current: no order retry,User notified of failed order,Granule-level order tracking,Link to user information,Current: no oder chunking,No Order Bundling,-71.8990375204125,5275.139883513791,No
105,Allow Order Reassignment,Current: not possible to force order completion,Store as soon as received,Current: no order segmentation,Current: no order retry,Current: no notification,Granule-level order tracking,Link to user information,Current: no oder chunking,No Order Bundling,-72.07681529819047,4974.984671884911,No
106,Current: not possible to reassign order,Allow Forced Order Completion,Store as soon as received,Current: no order segmentation,Allow Order Retry,Current: no notification,Current: order level,Current: no link to user info,Current: no oder chunking,Order Bundling,-82.16728076365587,3580.673307714196,No
107,Current: not possible to reassign order,Current: not possible to force order completion,Current: store when processed,Current: no order segmentation,Allow Order Retry,Current: no notification,Current: order level,Current: no link to user info,Order Chunking,Order Bundling,-88.71728076365585,199.94500998473464,No
108,Current: not possible to reassign order,Allow Forced Order Completion,Current: store when processed,Current: no order segmentation,Current: no order retry,Current: no notification,Current: order level,Current: no link to user info,Current: no oder chunking,No Order Bundling,-81.68237085374585,200.1471144534779,No
109,Allow Order Reassignment,Allow Forced Order Completion,Store as soon as received,Orders are segmented,Current: no order retry,Current: no notification,Granule-level order tracking,Link to user information,Current: no oder chunking,Order Bundling,-75.81172520810037,5375.032457499429,No
110,Allow Order Reassignment,Allow Forced Order Completion,Current: store when processed,Current: no order segmentation,Current: no order retry,Current: no notification,Granule-level order tracking,Current: no link to user info,Current: no oder chunking,No Order Bundling,-77.35237085374605,1785.4030977087061,No
111,Allow Order Reassignment,Allow Forced Order Completion,Store as soon as received,Current: no order segmentation,Allow Order Retry,User notified of failed order,Current: order level,Link to user information,Current: no oder chunking,Order Bundling,-78.03394743032223,4489.746899221625,No
112,Current: not possible to reassign order,Current: not possible to force order completion,Current: store when processed,Current: no order segmentation,Allow Order Retry,Current: no notification,Current: order level,Link to user information,Current: no oder chunking,Order Bundling,-89.66172520810034,409.09251533844184,No
113,Allow Order Reassignment,Current: not possible to force order completion,Store as soon as received,Orders are segmented,Allow Order Retry,User notified of failed order,Current: order level,Link to user information,Order Chunking,Order Bundling,-73.73394743032273,4489.500455929201,No
114,Current: not possible to reassign order,Current: not possible to force order completion,Store as soon as received,Orders are segmented,Current: no order retry,Current: no notification,Granule-level order tracking,Link to user information,Current: no oder chunking,No Order Bundling,-69.0768152981905,4775.114468521098,No
