Optimisation Analysis 
============================ 

Objective: 		MaxExpectedUtility
Objective: 		MinCost
SolutionSpace: 			1024
Evaluated: 			1024
Shortlisted: 			30
Runtime(s): 			7

ID	Order Reassignment	Forced Order Completion	Order Persistence Strategy	Order Segmentation	Hung Order Recovery	Failed Order Notification	Order Tracking	Available User Information	Order Chunking	Order Bundling	ExpectedUtility	Cost	Optimal
67	Allow Order Reassignment	Current: not possible to force order completion	Current: store when processed	Orders are segmented	Current: no order retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Order Chunking	Order Bundling	-80.58561162321244	2082.1016888485033	No
68	Allow Order Reassignment	Current: not possible to force order completion	Store as soon as received	Current: no order segmentation	Allow Order Retry	Current: no notification	Granule-level order tracking	Link to user information	Current: no oder chunking	Order Bundling	-78.23627828987885	5162.146587075918	No
69	Allow Order Reassignment	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Allow Order Retry	Current: no notification	Current: order level	Link to user information	Order Chunking	Order Bundling	-80.38627828987869	1210.863641208807	No
70	Current: not possible to reassign order	Allow Forced Order Completion	Store as soon as received	Current: no order segmentation	Current: no order retry	User notified of failed order	Granule-level order tracking	Link to user information	Order Chunking	No Order Bundling	-71.02359060219112	5061.940595641902	No
71	Current: not possible to reassign order	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Current: no order retry	Current: no notification	Current: order level	Link to user information	Current: no oder chunking	No Order Bundling	-68.70136837996887	3780.0701330197758	No
72	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Current: no order segmentation	Current: no order retry	Current: no notification	Current: order level	Current: no link to user info	Order Chunking	No Order Bundling	-71.95692393552493	3769.8484250837273	No
73	Allow Order Reassignment	Current: not possible to force order completion	Store as soon as received	Orders are segmented	Allow Order Retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Order Chunking	No Order Bundling	-62.43470171330249	5451.681966312843	No
74	Current: not possible to reassign order	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Allow Order Retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	No Order Bundling	-71.17692393552424	1782.1118157537576	No
75	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Allow Order Retry	Current: no notification	Granule-level order tracking	Link to user information	Current: no oder chunking	No Order Bundling	-63.30136837996863	5562.2748624668475	No
76	Allow Order Reassignment	Current: not possible to force order completion	Store as soon as received	Current: no order segmentation	Current: no order retry	Current: no notification	Current: order level	Link to user information	Order Chunking	Order Bundling	-82.73627828987892	3780.1630467130663	No
77	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Current: no order segmentation	Allow Order Retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	No Order Bundling	-66.95692393552486	5151.831965446591	No
78	Allow Order Reassignment	Current: not possible to force order completion	Current: store when processed	Orders are segmented	Allow Order Retry	Current: no notification	Granule-level order tracking	Link to user information	Order Chunking	Order Bundling	-79.15627828987877	2192.64762646725	No
79	Allow Order Reassignment	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	User notified of failed order	Granule-level order tracking	Link to user information	Current: no oder chunking	No Order Bundling	-73.53959060219101	2292.6108470111135	No
80	Allow Order Reassignment	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Current: order level	Link to user information	Order Chunking	Order Bundling	-88.78627828987885	610.6590675333022	No
81	Allow Order Reassignment	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Allow Order Retry	User notified of failed order	Granule-level order tracking	Link to user information	Current: no oder chunking	No Order Bundling	-69.13959060219116	2692.7391224020253	No
82	Current: not possible to reassign order	Allow Forced Order Completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Granule-level order tracking	Link to user information	Order Chunking	Order Bundling	-87.57450051210103	1892.4366164621438	No
83	Current: not possible to reassign order	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Current: no order retry	User notified of failed order	Current: order level	Current: no link to user info	Current: no oder chunking	Order Bundling	-77.56961162321198	3869.6004936856084	No
84	Current: not possible to reassign order	Allow Forced Order Completion	Current: store when processed	Orders are segmented	Current: no order retry	User notified of failed order	Current: order level	Current: no link to user info	Current: no oder chunking	Order Bundling	-83.60961162321192	700.0965145058651	No
85	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Orders are segmented	Allow Order Retry	User notified of failed order	Current: order level	Current: no link to user info	Order Chunking	Order Bundling	-82.50961162321252	700.0495559706578	No
86	Allow Order Reassignment	Allow Forced Order Completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Current: order level	Link to user information	Current: no oder chunking	No Order Bundling	-77.16359060219133	1110.7505634680572	No
87	Current: not possible to reassign order	Allow Forced Order Completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	Current: no notification	Current: order level	Current: no link to user info	Current: no oder chunking	Order Bundling	-87.84183384543485	400.1995551043917	No
88	Current: not possible to reassign order	Allow Forced Order Completion	Store as soon as received	Current: no order segmentation	Current: no order retry	User notified of failed order	Granule-level order tracking	Link to user information	Order Chunking	Order Bundling	-81.55850051210108	5061.940595641902	No
89	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Allow Order Retry	Current: no notification	Current: order level	Link to user information	Order Chunking	No Order Bundling	-63.801368379968636	4380.367620388551	No
90	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Current: no order segmentation	Current: no order retry	User notified of failed order	Current: order level	Link to user information	Current: no oder chunking	No Order Bundling	-71.12359060219116	4280.254542647797	No
91	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	Order Bundling	-91.31183384543424	1181.907242078264	No
92	Allow Order Reassignment	Allow Forced Order Completion	Store as soon as received	Orders are segmented	Allow Order Retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	Order Bundling	-73.66961162321203	5651.805223132617	No
93	Current: not possible to reassign order	Current: not possible to force order completion	Store as soon as received	Orders are segmented	Allow Order Retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	No Order Bundling	-66.93470171330233	5051.460777228683	No
94	Allow Order Reassignment	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Order Chunking	Order Bundling	-86.81183384543432	1582.1284311624443	No
95	Allow Order Reassignment	Current: not possible to force order completion	Store as soon as received	Orders are segmented	Current: no order retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Order Chunking	Order Bundling	-74.56961162321204	5251.605668028253	No
96	Allow Order Reassignment	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Link to user information	Current: no oder chunking	Order Bundling	-88.25627828987882	1792.5663096115663	No
97	Current: not possible to reassign order	Current: not possible to force order completion	Current: store when processed	Current: no order segmentation	Allow Order Retry	User notified of failed order	Current: order level	Link to user information	Current: no oder chunking	Order Bundling	-87.49850051210096	710.4824158486766	No
98	Allow Order Reassignment	Current: not possible to force order completion	Store as soon as received	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Current: no link to user info	Order Chunking	No Order Bundling	-70.25692393552441	4751.6324103422	No
99	Allow Order Reassignment	Allow Forced Order Completion	Current: store when processed	Current: no order segmentation	Current: no order retry	User notified of failed order	Granule-level order tracking	Current: no link to user info	Current: no oder chunking	No Order Bundling	-76.75070171330215	2082.2199270972023	No
100	Allow Order Reassignment	Current: not possible to force order completion	Store as soon as received	Current: no order segmentation	Current: no order retry	User notified of failed order	Granule-level order tracking	Link to user information	Current: no oder chunking	No Order Bundling	-71.52359060219109	5262.038527906281	No
101	Allow Order Reassignment	Current: not possible to force order completion	Store as soon as received	Current: no order segmentation	Current: no order retry	Current: no notification	Granule-level order tracking	Link to user information	Current: no oder chunking	No Order Bundling	-71.70136837996878	4962.070288791302	No
102	Current: not possible to reassign order	Allow Forced Order Completion	Store as soon as received	Current: no order segmentation	Allow Order Retry	Current: no notification	Current: order level	Current: no link to user info	Current: no oder chunking	Order Bundling	-81.7918338454345	3569.7035342841386	No
